"id","claim","status","evidence","scope_or_condition","article_action"
"R64-C01","La porte géométrique R63 reste valide","INHERITED_PASS","r63_strict_tyurin_gate.py reproduit la sortie R63","Famille POLY944/sigma5 très générale","KEEP"
"R64-C02","Le lemme d'acyclicité transfère H>0(O)=0 de V,T vers Y lorsque K_V+Y~-T","PROVED","Deux suites exactes et dualité de Serre","Variétés lisses projectives connexes; V et T O-acycliques","KEEP_AS_METHOD"
"R64-C03","Une coupe anticanonique transverse d'une famille ambiante semistable O-acyclique donne une dégénérescence de Tyurin","PROVED","Adjonction; C02; cartes t=u,v,uv","Hypothèses complètes du §3 de R64_REPORT.md","KEEP_AS_CRITERION"
"R64-C04","Le critère général de coupe est une nouveauté scientifique autonome","FAIL_PRIOR_ART","Hu; Davis et al.; Doran-Harder-Thompson; Doran-Kostiuk-You","Architecture torique/Tyurin générale","DO_NOT_CLAIM_NOVELTY"
"R64-C05","Pour une involution compatible, epsilon_OmegaS=s*eta","PROVED","Omega3=OmegaS wedge dlog(u); dlog(v)=-dlog(u)","Involution holomorphe au-dessus de t; deux branches","KEEP"
"R64-C06","La parité des vecteurs fermés C4 vaut -s","PROVED_FROM_REDUCTION","Grimm-Louis: H3+ pour O3/O7 et H3- pour O5/O9","Projections Type IIB standard sans flux modifiant la troncature","KEEP_WITH_CITATION"
"R64-C07","Une classe de couture survivante vérifie epsilon_C=-epsilon_OmegaS","PROVED_CONDITIONALLY_RATIONAL","C05-C06; naturalité équivariante du tube prise comme hypothèse","Classe propre du quotient actif; représentant orthogonal rationnel; tube intégral équivariant ouvert","KEEP_AS_CONDITIONAL_PARITY_LEMMA"
"R64-C08","Le secteur actif de la parité requise est négatif défini","PROVED","Trois-plan positif <ReOmegaS,ImOmegaS,h> et signature K3 (3,19)","Dégénérescence projective; h invariant prolongeable; C dans L-perp","KEEP_AS_MAIN_PROPOSITION"
"R64-C09","Aucune classe active propre fermée C4 survivante non nulle ne possède C^2>=0","PROVED_CONDITIONALLY_RATIONAL","C07-C08","Représentant orthogonal rationnel; tube map équivariante supposée; version intégrale ouverte","KEEP_AS_CONDITIONAL_MAIN_PROPOSITION"
"R64-C10","Les signes du no-go R64 couvrent O3/O7 et O5/O9","DERIVED_CONDITIONALLY","Table complète des quatre signes","Troncatures standard de Grimm-Louis; aucune réalisation globale construite","KEEP_AS_SIGN_TABLE"
"R64-C11","Les signes du no-go R64 couvrent branches préservées et échangées","DERIVED_CONDITIONALLY","eta=+1 et eta=-1; cas sigma|S=id inclus","Action globale au-dessus de l'identité de la base supposée","KEEP_AS_SIGN_TABLE"
